Due Date,Pick Date,Scheduler,WOB#,Customer,Finish,Notes to  Warehouse,Lines,Total Quantity,SQM Unscheduled,SQM Released,SQM In Process,SQM Closed
22/7/2025,16/7/2025,V-KYSB,WOB05956,C02165 TARANTO GLASS PTY LTD,NV | 272-84365 Primrose Gloss,CPO - 39319,1,1,0,0,0,.57
22/7/2025,17/7/2025,N-ESKP,WOB05806,C00333 WATTS GLASS PTY LTD,NV | 90Z-9202M Zeus Black Matt,*WARRANTY* - PLZ SHIP WITH WOB05807,45,304,0,0,0,590.7
22/7/2025,17/7/2025,N-ESKP,WOB05807,C00333 WATTS GLASS PTY LTD,NV | 90Z-9202M Zeus Black Matt,*WARRANTY* - PLZ SHIP WITH WOB05806,11,140,0,0,0,188.04
22/7/2025,17/7/2025,N-ESKP,WOB05944,C02137 RYAN MURPHY TA VIRTUE GLASS AND GLAZING,Q | 971-7043K Silver Kinetic Satin Pearl,QLD - CUSTOMER - PLZ PACK BY 22/07,2,3,0,0,0,4.75
22/7/2025,17/7/2025,N-ESKP,WOB05955,C00572 IRON GATE PTY LTD,NV | 21T-8184F Protexture Dark Bronze Flat,*WARRANTY* - PLZ PACK BY 22/07,1,1,0,0,0,1.51
22/7/2025,17/7/2025,V-KYSB,WOB05971,C01763 STEVENS GLASS,NV | 90T-7183K Eternity Copper Metallic Kinetic Matt *1.5,CPO - 02944PY,2,2,0,0,0,5.68
22/7/2025,18/7/2025,V-KYSB,WOB06013,C02165 TARANTO GLASS PTY LTD,NV | 272-36672 Notre Dame Gloss,CPO-Replacement-39087 (Stock get damaged),2,2,0,0,0,6.55
22/7/2025,22/7/2025,N-ESKP,- None -,- None -,- None -,- None -,29,45,0,0,0,66.06
22/7/2025,22/7/2025,Q-YTLA,- None -,- None -,- None -,- None -,3,3,0,0,0,4.59
22/7/2025,22/7/2025,V-KYSB,- None -,- None -,- None -,- None -,4,132,0,0,0,0
21/7/2025,23/6/2025,N-ESKP,WOB04910,C00257 VALUE GLASS PTY LTD,N | Universal Light Bronze (T37) - 15um - Non-Bulk,UNIVERSAL - B/O,1,2,0,0,0,5.5
21/7/2025,30/6/2025,Q-YTLA,WOB05415,- None -,Q | Light Bronze Ano - 15um,- None -,2,11,0,0,0,11.21
